"","Corr","stdev","Levels","N","Bias","SD","RMSE","effect","eta2p","ES","Design"
"1",0,5,3,20,0.030315742206,0.0530242827564534,0.0610787916329143,0.062573802206,0.03225806,"ges","RM1"
"2",0.1,5,3,20,0.032150565751,0.0526643433271037,0.0617024467601118,0.064408625751,0.03225806,"ges","RM1"
"3",0.3,5,3,20,0.025703921798,0.0507146418734495,0.0568565431252194,0.057961981798,0.03225806,"ges","RM1"
"4",0.5,5,3,20,0.026320908558,0.0495183477910452,0.0560790245570793,0.058578968558,0.03225806,"ges","RM1"
"5",0.7,5,3,20,0.026440458899,0.0488103604025354,0.0555117028149479,0.058698518899,0.03225806,"ges","RM1"
"6",0.9,5,3,20,0.023151754225,0.0478824375228146,0.0531858209189353,0.055409814225,0.03225806,"ges","RM1"
"7",0,3,3,20,0.026255434956,0.0564771221231062,0.0622817243502217,0.078887014956,0.05263158,"ges","RM1"
"8",0.1,3,3,20,0.028872132928,0.061402558749373,0.0678518553967561,0.081503712928,0.05263158,"ges","RM1"
"9",0.3,3,3,20,0.023464828613,0.0547953644845767,0.0596081382936515,0.076096408613,0.05263158,"ges","RM1"
"10",0.5,3,3,20,0.027859538354,0.0577964552798888,0.064160611906513,0.080491118354,0.05263158,"ges","RM1"
"11",0.7,3,3,20,0.02426535817,0.0561590557283535,0.0611771783218114,0.07689693817,0.05263158,"ges","RM1"
"12",0.9,3,3,20,0.018206860063,0.0479462911076749,0.0512868071177722,0.070838440063,0.05263158,"ges","RM1"
"13",0,1,3,20,0.019879603363,0.0789015780445491,0.0813674237504806,0.162736743363,0.14285714,"ges","RM1"
"14",0.1,1,3,20,0.012989039104,0.0779532266758586,0.0790279740726221,0.155846179104,0.14285714,"ges","RM1"
"15",0.3,1,3,20,0.014864059958,0.0705849294480835,0.0721330197872371,0.157721199958,0.14285714,"ges","RM1"
"16",0.5,1,3,20,0.008357230218,0.0628820124772723,0.0634349335154415,0.151214370218,0.14285714,"ges","RM1"
"17",0.7,1,3,20,0.009882035781,0.058086065185457,0.0589206720931298,0.152739175781,0.14285714,"ges","RM1"
"18",0.9,1,3,20,0.004396722696,0.0505302781566981,0.0507212005088484,0.147253862696,0.14285714,"ges","RM1"
"19",0,5,4,20,0.031671538064,0.0535565061297018,0.0622204602374507,0.090495068064,0.05882353,"ges","RM1"
"20",0.1,5,4,20,0.03056862436,0.0557571948555833,0.0635869921715619,0.08939215436,0.05882353,"ges","RM1"
"21",0.3,5,4,20,0.027365902718,0.0510508753981604,0.0579230913409284,0.086189432718,0.05882353,"ges","RM1"
"22",0.5,5,4,20,0.027285805259,0.0521035429590086,0.0588157662324765,0.086109335259,0.05882353,"ges","RM1"
"23",0.7,5,4,20,0.029642902571,0.0546767596459725,0.062195254788587,0.088466432571,0.05882353,"ges","RM1"
"24",0.9,5,4,20,0.026886113602,0.05112989322773,0.057767889749399,0.085709643602,0.05882353,"ges","RM1"
"25",0,3,4,20,0.029310261262,0.0651007472128832,0.0713946685889249,0.123649881262,0.09433962,"ges","RM1"
"26",0.1,3,4,20,0.029052291056,0.0645817639075898,0.0708155339245438,0.123391911056,0.09433962,"ges","RM1"
"27",0.3,3,4,20,0.028155900751,0.0630494581217066,0.0690506257505389,0.122495520751,0.09433962,"ges","RM1"
"28",0.5,3,4,20,0.027851411133,0.0582349825790168,0.0645524151219595,0.122191031133,0.09433962,"ges","RM1"
"29",0.7,3,4,20,0.02331489516,0.0569888926724303,0.0615736812636014,0.11765451516,0.09433962,"ges","RM1"
"30",0.9,3,4,20,0.022517920321,0.0565923918286852,0.0609077626290306,0.116857540321,0.09433962,"ges","RM1"
"31",0,1,4,20,0.015801530645,0.0774057102354178,0.0790021034389233,0.253896770645,0.23809524,"ges","RM1"
"32",0.1,1,4,20,0.017176000038,0.0796913216743804,0.0815212961594389,0.255271240038,0.23809524,"ges","RM1"
"33",0.3,1,4,20,0.013346487342,0.0686892429828652,0.0699738581609536,0.251441727342,0.23809524,"ges","RM1"
"34",0.5,1,4,20,0.00662025851199999,0.0659341702259703,0.0662656972056654,0.244715498512,0.23809524,"ges","RM1"
"35",0.7,1,4,20,0.00997644110199999,0.0634983978796646,0.0642773358995678,0.248071681102,0.23809524,"ges","RM1"
"36",0.9,1,4,20,0.00548704408299999,0.0609589262113077,0.0612053783388718,0.243582284083,0.23809524,"ges","RM1"
"37",0,5,5,20,0.031283690695,0.0564409949098979,0.0645310406697393,0.122192780695,0.09090909,"ges","RM1"
"38",0.1,5,5,20,0.029679944892,0.0540648617981875,0.0616758332740569,0.120589034892,0.09090909,"ges","RM1"
"39",0.3,5,5,20,0.0297724659,0.0559071292884232,0.0633404044117113,0.1206815559,0.09090909,"ges","RM1"
